portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,10983017,BTC-GBP,BUY,2020-11-16T20:17:42.909Z,0.03216080,BTC,12750,0.4100502,-410.4602502,GBP
default,10983018,BTC-GBP,BUY,2020-11-16T20:17:43.005Z,0.00774000,BTC,12750,0.098685,-98.783685,GBP
default,10983027,BTC-GBP,BUY,2020-11-16T20:18:26.616Z,0.30155485,BTC,12750,3.8448243375,-3848.6691618375,GBP
default,10985999,BTC-GBP,SELL,2020-11-17T01:49:42.265Z,0.03172470,BTC,12670,0.803903898,401.148045102,GBP
default,10986127,BTC-GBP,BUY,2020-11-17T02:42:43.745Z,0.00500000,BTC,12650,0.06325,-63.31325,GBP
default,10986215,BTC-GBP,SELL,2020-11-17T03:12:53.661Z,0.00377638,BTC,12650,0.047771207,47.723435793,GBP
default,10986216,BTC-GBP,SELL,2020-11-17T03:13:05.751Z,0.49697258,BTC,12650,6.286703137,6280.416433863,GBP
default,11008238,BTC-GBP,BUY,2020-11-18T01:00:38.674Z,0.00500000,BTC,13400,0.067,-67.067,GBP
default,11008243,BTC-GBP,BUY,2020-11-18T01:01:16.428Z,0.00500000,BTC,13390,0.06695,-67.01695,GBP
default,11008576,BTC-GBP,SELL,2020-11-18T02:04:52.778Z,0.01000000,BTC,13409.3,0.268186,133.824814,GBP
default,11009149,BTC-GBP,BUY,2020-11-18T03:56:09.948Z,0.50000000,BTC,13580,6.79,-6796.79,GBP
default,11010533,BTC-GBP,SELL,2020-11-18T05:34:11.270Z,0.50000000,BTC,13600,13.6,6786.4,GBP
default,11035478,BTC-GBP,BUY,2020-11-19T02:03:26.392Z,0.08771584,BTC,13550,1.188549632,-1189.738181632,GBP
default,11035480,BTC-GBP,BUY,2020-11-19T02:03:56.796Z,0.41228416,BTC,13550,5.586450368,-5592.036818368,GBP
default,11036114,BTC-GBP,SELL,2020-11-19T04:21:07.506Z,0.19700000,BTC,13480.14,2.65558758,2652.93199242,GBP
default,11036115,BTC-GBP,SELL,2020-11-19T04:21:09.746Z,0.05000000,BTC,13480.14,0.674007,673.332993,GBP
default,11036116,BTC-GBP,SELL,2020-11-19T04:21:10.129Z,0.25300000,BTC,13480.14,3.41047542,3407.06494458,GBP
