Time (UTC),Symbol,Side,Amount Received,Exec. Price,Amount Spent,Amount,Order Price,Fee rate,Fee paid,Type,ID
2023-12-28 02:40:39,TIA / USDT,Buy,0.11500000 TIA,12.69120000,1.45948800 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00011500 TIA,Limit,69b19413-7b45-5ec3-bf56-b3e35c7b0032
2023-12-28 02:40:39,TIA / USDT,Buy,5.20700000 TIA,12.69250000,66.08984750 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00520700 TIA,Limit,72fe599e-c3b2-51b3-a073-4144e78c7915
2023-12-28 02:40:39,TIA / USDT,Buy,4.31400000 TIA,12.68970000,54.74336580 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00431400 TIA,Limit,2daf077c-ec62-5c5a-8ad2-470e8890aac7
2023-12-28 02:40:39,TIA / USDT,Buy,3.37000000 TIA,12.66260000,42.67296200 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00337000 TIA,Limit,72dcbc46-aaff-5aab-bb2f-6be606efb1c9
2023-12-28 02:40:39,TIA / USDT,Buy,4.48300000 TIA,12.69280000,56.90182240 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00448300 TIA,Limit,54b340c1-21de-57d7-ab7f-a1fec0a51e9d
2023-12-28 02:00:44,NEAR / USDT,Buy,938.83300000 NEAR,4.00000000,3755.33200000 USDT,4000.00000000 USDT,4.00000000,0.10%,0.93883300 NEAR,Limit,dafc8b86-b651-54da-add7-e03f6a5139d0
2023-12-28 02:00:40,NEAR / USDT,Buy,2.67600000 NEAR,3.99800000,10.69864800 USDT,4000.00000000 USDT,4.00000000,0.10%,0.00267600 NEAR,Limit,09c1bda2-bb5f-560f-a824-4a8235e4d68a
2023-12-28 02:00:40,NEAR / USDT,Buy,6.43300000 NEAR,3.99900000,25.72556700 USDT,4000.00000000 USDT,4.00000000,0.10%,0.00643300 NEAR,Limit,df7f05e0-4c4d-5793-9cc0-cd5759824ee3
2023-12-28 02:00:40,NEAR / USDT,Buy,4.67600000 NEAR,3.99900000,18.69932400 USDT,4000.00000000 USDT,4.00000000,0.10%,0.00467600 NEAR,Limit,d441e298-0a27-561f-addf-116afb0d2aa5
2023-12-28 02:00:40,NEAR / USDT,Buy,7.60400000 NEAR,4.00000000,30.41600000 USDT,4000.00000000 USDT,4.00000000,0.10%,0.00760400 NEAR,Limit,cc0623ad-2760-5098-b961-df99ab471e63
2023-12-28 02:00:40,NEAR / USDT,Buy,6.58900000 NEAR,3.99800000,26.34282200 USDT,4000.00000000 USDT,4.00000000,0.10%,0.00658900 NEAR,Limit,c67f3768-bf20-5e8b-87a7-6bd1cd1f295b
2023-12-28 02:00:40,NEAR / USDT,Buy,6.71200000 NEAR,3.99700000,26.82786400 USDT,4000.00000000 USDT,4.00000000,0.10%,0.00671200 NEAR,Limit,c2688e05-9c54-5d42-ace6-5310e1e2ee62
2023-12-28 02:00:40,NEAR / USDT,Buy,7.41000000 NEAR,4.00000000,29.64000000 USDT,4000.00000000 USDT,4.00000000,0.10%,0.00741000 NEAR,Limit,ab207c52-7508-5346-bf0c-7d3f01a9b4b5
2023-12-28 02:00:40,NEAR / USDT,Buy,2.41300000 NEAR,3.99700000,9.64476100 USDT,4000.00000000 USDT,4.00000000,0.10%,0.00241300 NEAR,Limit,388550b2-9cd3-5d6e-a52a-767bedf4feb5
2023-12-28 02:00:40,NEAR / USDT,Buy,7.94800000 NEAR,3.99800000,31.77610400 USDT,4000.00000000 USDT,4.00000000,0.10%,0.00794800 NEAR,Limit,00e20c26-8644-55d4-98f4-567e917541f4
2023-12-28 02:00:40,NEAR / USDT,Buy,8.73000000 NEAR,3.99700000,34.89381000 USDT,4000.00000000 USDT,4.00000000,0.10%,0.00873000 NEAR,Limit,2c80b734-6774-5acd-b70c-415221acf37f
2023-12-28 00:24:57,BTC / USDT,Sell,812.75326860 USDT,43532.58000000,0.01867000 BTC,0.30000000 BTC,Market,0.10%,0.81275327 USDT,Market,2a0893a5-0ea7-5d9f-a77b-9129823fc3c3
2023-12-28 00:24:57,BTC / USDT,Sell,9811.06050548 USDT,43535.83000000,0.22535600 BTC,0.30000000 BTC,Market,0.10%,9.81106051 USDT,Market,703942d1-79ee-504e-9752-cf9ea053c7fe
2023-12-28 00:24:57,BTC / USDT,Sell,2436.63553944 USDT,43531.56000000,0.05597400 BTC,0.30000000 BTC,Market,0.10%,2.43663554 USDT,Market,6f357fb1-ae2c-53c8-b1bd-5cae7d58c34e
